artist,value,kind
Taylor Swift,841,Billboard
Kenny Chesney,660,Billboard
Drake,639,Billboard
Rascal Flatts,553,Billboard
Keith Urban,540,Billboard
Brad Paisley,516,Billboard
Rihanna,514,Billboard
Maroon 5,513,Billboard
Jason Aldean,498,Billboard
Blake Shelton,476,Billboard
Carrie Underwood,467,Billboard
Tim Mcgraw,444,Billboard
Kelly Clarkson,439,Billboard
Nickelback,419,Billboard
Luke Bryan,416,Billboard
Imagine Dragons,407,Billboard
P!Nk,399,Billboard
Bruno Mars,380,Billboard
Katy Perry,378,Billboard
Chris Brown,360,Billboard
Ed Sheeran,358,Billboard
George Strait,354,Billboard
Dierks Bentley,347,Billboard
Toby Keith,338,Billboard
Linkin Park,334,Billboard
Train,307,Billboard
Eminem,307,Billboard
Britney Spears,301,Billboard
Alicia Keys,296,Billboard
Usher,288,Billboard
Lady Gaga,288,Billboard
Zac Brown Band,286,Billboard
Onerepublic,276,Billboard
Adele,274,Billboard
Eric Church,273,Billboard
Coldplay,272,Billboard
Kanye West,271,Billboard
Montgomery Gentry,267,Billboard
Billy Currington,266,Billboard
Avril Lavigne,263,Billboard
Justin Bieber,262,Billboard
Florida Georgia Line,261,Billboard
One Direction,260,Billboard
Jason Derulo,257,Billboard
Ariana Grande,253,Billboard
Chris Young,233,Billboard
3 Doors Down,232,Billboard
Matchbox Twenty,230,Billboard
John Mayer,228,Billboard
Nicki Minaj,227,Billboard
Trey Songz,225,Billboard
Miranda Lambert,225,Billboard
Demi Lovato,221,Billboard
Thomas Rhett,220,Billboard
Daughtry,220,Billboard
Miley Cyrus,219,Billboard
Darius Rucker,212,Billboard
Christina Aguilera,212,Billboard
Jake Owen,211,Billboard
Dixie Chicks,209,Billboard
Faith Hill,206,Billboard
Lifehouse,197,Billboard
Shawn Mendes,194,Billboard
Fall Out Boy,193,Billboard
T.I.,192,Billboard
Mariah Carey,187,Billboard
Alan Jackson,184,Billboard
Red Hot Chili Peppers,182,Billboard
Jennifer Lopez,180,Billboard
J. Cole,178,Billboard
Colbie Caillat,178,Billboard
Lonestar,177,Billboard
Travis Scott,175,Billboard
Lee Brice,173,Billboard